Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.7511820330969267,0.40273972602739727,0.42,0.4111888111888112,0.7355865446029382
Random Forest + SMOTE,0.7080378250591016,0.3771331058020478,0.6314285714285715,0.4722222222222222,0.7276740472642113
XGBoost + SMOTE,0.7021276595744681,0.3694915254237288,0.6228571428571429,0.46382978723404256,0.7163764104747712
RF + XGB Ensemble,0.7411347517730497,0.412,0.5885714285714285,0.48470588235294115,0.7331498829039812
Weighted Ensemble,0.7440898345153665,0.41113490364025695,0.5485714285714286,0.4700122399020808,0.7367990206514797
Tuned Random Forest + SMOTE,0.736407,0.415789,0.677143,0.515217,0.756036
